model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
model_3,urban_population_share,ordinary,0.9074172088684439,0.2819262624336062,0.0012880316336678391,0.3548518882025882,1.4599825295342996,2.4779143262702448,1.4259694357437052,4.305884301884081,1.0949861566796328,1.0361223018207706,1.157194166376931,1074,3.760385847979231
model_3,Intercept,state_clustered,3.1775168445452397,0.5041549755085817,8.137505933724214e-07,2.1448021921418543,4.210231496948625,23.9871158003608,8.54035172151801,67.3721344485385,,,,1074,3.760385847979231
model_3,C(year)[T.2016],state_clustered,0.2649815107633217,0.432283443373298,0.5448361950151506,-0.6205109819223822,1.1504740034490257,1.3034068765573525,0.5376696279291826,3.1596902588679514,,,,1074,3.760385847979231
model_3,C(year)[T.2017],state_clustered,0.22178716542094265,0.4031693897527203,0.5866065241130001,-0.6040678919017602,1.0476422227436455,1.248305666977888,0.5465836643304398,2.850921350015049,,,,1074,3.760385847979231
model_3,C(year)[T.2018],state_clustered,0.5593221266593629,0.8292917552254683,0.5055514184942284,-1.1394050273764005,2.2580492806951264,1.7494861682168366,0.3200093619967743,9.564413471168638,,,,1074,3.760385847979231
model_3,C(year)[T.2019],state_clustered,0.28880688156345186,0.37312298859682663,0.4454021574962275,-0.47550091304627357,1.0531146761731773,1.3348339225955872,0.621573624133725,2.8665656516477136,,,,1074,3.760385847979231
model_3,C(year)[T.2020],state_clustered,-2.0114935665749374,0.522180204512261,0.0006238312940338106,-3.081131226801954,-0.9418559063479204,0.1337887030355469,0.04590729570147428,0.3899035390002059,,,,1074,3.760385847979231
model_3,C(year)[T.2021],state_clustered,-0.5772011359694046,0.5381786897345513,0.2926489071180539,-1.679610207583667,0.5252079356448577,0.5614676410328742,0.18644663736236827,1.6908103915777486,,,,1074,3.760385847979231
model_3,C(year)[T.2022],state_clustered,0.17430557020527787,0.41791469429461797,0.6797974737134548,-0.6817538742489941,1.0303650146595498,1.1904192669091807,0.5057292286091415,2.8020884514148006,,,,1074,3.760385847979231
model_3,C(year)[T.2023],state_clustered,-0.25802568704740303,0.5120246517216588,0.618251314372258,-1.3068606404092717,0.7908092663144658,0.772575386671464,0.27066844957533515,2.2051802824711366,,,,1074,3.760385847979231
model_3,C(year)[T.2024],state_clustered,0.1543771996107004,0.36538720913686523,0.6758848618728596,-0.5940845691058871,0.9028389683272879,1.1669309696811498,0.5520677144596982,2.4665957677559445,,,,1074,3.760385847979231
model_3,C(year)[T.2025],state_clustered,0.20053379406145216,0.4533211086995189,0.6616227948251725,-0.7280524025251809,1.1291199906480853,1.2220549097409523,0.4828484693891855,3.0929334917664253,,,,1074,3.760385847979231
model_3,log_flood_area,state_clustered,-0.004436052094923333,0.0921948533151608,0.961965327073518,-0.19328864806246374,0.18441654387261705,0.9955737726511071,0.8242440233584047,1.2025166197168418,,,,1074,3.760385847979231
model_3,urban_population_share,state_clustered,0.9074172088684439,0.45074803128352564,0.05380448115277555,-0.01589827756287654,1.8307326952997642,2.4779143262702448,0.9842274329764997,6.238455871694776,1.0949861566796328,0.998411435350397,1.200902394411419,1074,3.760385847979231
model_2_source_fe,Intercept,ordinary,4.301478670652534,0.9118653015754272,2.390769605563002e-06,2.5142555208129416,6.088701820492126,73.80885203244425,12.357405522503223,440.84873871191917,,,,1074,4.1037940151152705
model_2_source_fe,C(satellite_source)[T.S1],ordinary,-0.9477172537204503,0.9176273828694219,0.3017017412579692,-2.746233875372264,0.8507993679313635,0.3876248634944202,0.06416907543551145,2.341517838293759,,,,1074,4.1037940151152705
model_2_source_fe,log_flood_area,ordinary,-0.02388497695285907,0.0356158043237721,0.5024571589496907,-0.09369067070787833,0.045920716802160186,0.9763980115736505,0.9105643829177582,1.0469913988400368,,,,1074,4.1037940151152705
model_2_source_fe,urban_population_share,ordinary,0.7038239059440737,0.2844712034931098,0.013355429594913015,0.1462705924588138,1.2613772194293338,2.021467850007106,1.1575093589815861,3.5302801112620283,1.0729183767175983,1.0147345581685125,1.1344383945847236,1074,4.1037940151152705
model_2_source_fe,Intercept,state_clustered,4.301478670652534,0.6870733480904685,9.103744800401741e-07,2.894072717486848,5.70888462381822,73.80885203244425,18.066740698767404,301.5345561869342,,,,1074,4.1037940151152705
model_2_source_fe,C(satellite_source)[T.S1],state_clustered,-0.9477172537204503,0.892518266584822,0.2973786811323972,-2.7759580451755124,0.8805235377346115,0.3876248634944202,0.06228977167895059,2.4121622338494215,,,,1074,4.1037940151152705
model_2_source_fe,log_flood_area,state_clustered,-0.02388497695285907,0.13267222831045447,0.858425651367279,-0.2956517169418833,0.24788176303616516,0.9763980115736505,0.7440465216965492,1.2813084252194014,,,,1074,4.1037940151152705
model_2_source_fe,urban_population_share,state_clustered,0.7038239059440737,0.4058838248111245,0.09390788102704939,-0.12759141953820374,1.5352392314263512,2.021467850007106,0.8802129434950898,4.642436013706662,1.0729183767175983,0.9873219108104201,1.1659356796340399,1074,4.1037940151152705
model_2_by_source_S1,Intercept,ordinary,3.344751506669697,0.19659587569931464,6.540618238982915e-65,2.959430670789927,3.730072342549467,28.353529128301986,19.286987983474997,41.68212344603866,,,,1069,4.115153509916871
model_2_by_source_S1,log_flood_area,ordinary,-0.021859043849470815,0.035660270764883546,0.5398893587329188,-0.09175189022758917,0.048033802528647536,0.978378133747642,0.9123314798223745,1.049206120545007,,,,1069,4.115153509916871
model_2_by_source_S1,urban_population_share,ordinary,0.7066378944584476,0.28446032091306045,0.012986649401073757,0.14910591043814314,1.264169878478752,2.0271642483600463,1.16079592310379,3.540152759014918,1.0732203372001665,1.0150223084734677,1.134755248790817,1069,4.115153509916871
model_2_by_source_S1,Intercept,state_clustered,3.344751506669697,0.6741212868421983,3.07998992427538e-05,1.963876648265937,4.725626365073457,28.353529128301986,7.126902073883958,112.80113093954081,,,,1069,4.115153509916871
model_2_by_source_S1,log_flood_area,state_clustered,-0.021859043849470815,0.1327489035866996,0.8703909992929663,-0.2937828460219547,0.2500647583230131,0.978378133747642,0.7454383487714945,1.284108570712861,,,,1069,4.115153509916871
model_2_by_source_S1,urban_population_share,state_clustered,0.7066378944584476,0.40791071474120205,0.09421783761605136,-0.12892932683223357,1.5422051157491288,2.0271642483600463,0.8790360876152684,4.674887581666304,1.0732203372001665,0.9871898251279342,1.1667481398836057,1069,4.115153509916871
source_event_robustness,Intercept,ordinary,3.7208334360731823,0.8119040409129262,4.58683773553359e-06,2.1295307569813122,5.312136115165052,41.29879967862895,8.410919120221383,202.78293376938694,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2015-0317-IND],ordinary,-3.7979707492343615,0.8921334060037162,2.070234815834923e-05,-5.546520094406695,-2.049421404062028,0.022416213853092528,0.003901008793062559,0.12880941063275353,,,,1070,2.5854852323672026
