event_district_id,event_id,source_record_id,state,district,start_date,candidate_article_count,heuristic_pass_count,final_article_count,count_source,collection_status,query_collection_status,missing_text_count,weak_text_count
E051::kokrajhar,E051,2017-0289-IND,Assam,Kokrajhar,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::lakhimpur,E051,2017-0289-IND,Assam,Lakhimpur,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::majuli,E051,2017-0289-IND,Assam,Majuli,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::marigaon,E051,2017-0289-IND,Assam,Marigaon,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::morigaon,E051,2017-0289-IND,Assam,Morigaon,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::nagaon,E051,2017-0289-IND,Assam,Nagaon,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::nalbari,E051,2017-0289-IND,Assam,Nalbari,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::sibsagar,E051,2017-0289-IND,Assam,Sibsagar,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::sivasagar,E051,2017-0289-IND,Assam,Sivasagar,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::sonitpur,E051,2017-0289-IND,Assam,Sonitpur,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::south%20salmara,E051,2017-0289-IND,Assam,South Salmara,2017-06-25,0,0,,heuristic,missing,missing,0,0
E052::bishnupur,E052,2017-0290-IND,Manipur,Bishnupur,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E052::east%20imphal,E052,2017-0290-IND,Manipur,East Imphal,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E052::imphal%20east,E052,2017-0290-IND,Manipur,Imphal East,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E052::imphal%20west,E052,2017-0290-IND,Manipur,Imphal West,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E052::thoubal,E052,2017-0290-IND,Manipur,Thoubal,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E052::west%20imphal,E052,2017-0290-IND,Manipur,West Imphal,2017-07-01,0,0,,heuristic,incomplete,incomplete,0,0
E053::araria,E053,2017-0342-IND,Bihar,Araria,2017-08-11,1,1,,heuristic,incomplete,incomplete,0,0
E053::jogbani,E053,2017-0342-IND,Bihar,Jogbani,2017-08-11,0,0,,heuristic,missing,missing,0,0
E054::district_missing,E054,2017-0342-IND,Uttar Pradesh,district_missing,2017-08-11,0,0,,heuristic,missing,missing,0,0
E055::district_missing,E055,2017-0342-IND,West Bengal,district_missing,2017-08-11,0,0,,heuristic,missing,missing,0,0
E056::ambedkar%20nagar,E056,2017-0517-IND,Uttar Pradesh,Ambedkar Nagar,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::azamgarh,E056,2017-0517-IND,Uttar Pradesh,Azamgarh,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::badaun,E056,2017-0517-IND,Uttar Pradesh,Badaun,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::bahraich,E056,2017-0517-IND,Uttar Pradesh,Bahraich,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::ballia,E056,2017-0517-IND,Uttar Pradesh,Ballia,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::balrampur,E056,2017-0517-IND,Uttar Pradesh,Balrampur,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::bara%20banki,E056,2017-0517-IND,Uttar Pradesh,Bara Banki,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::barabanki,E056,2017-0517-IND,Uttar Pradesh,Barabanki,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::basti,E056,2017-0517-IND,Uttar Pradesh,Basti,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::bijnor,E056,2017-0517-IND,Uttar Pradesh,Bijnor,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::budaun,E056,2017-0517-IND,Uttar Pradesh,Budaun,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::deoria,E056,2017-0517-IND,Uttar Pradesh,Deoria,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::faizabad,E056,2017-0517-IND,Uttar Pradesh,Faizabad,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::farrukhabad,E056,2017-0517-IND,Uttar Pradesh,Farrukhabad,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::ghazipur,E056,2017-0517-IND,Uttar Pradesh,Ghazipur,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::gonda,E056,2017-0517-IND,Uttar Pradesh,Gonda,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::gorakhpur,E056,2017-0517-IND,Uttar Pradesh,Gorakhpur,2017-08-16,3,3,,heuristic,incomplete,incomplete,0,0
E056::kushinagar,E056,2017-0517-IND,Uttar Pradesh,Kushinagar,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::lakhimpur%20kheri,E056,2017-0517-IND,Uttar Pradesh,Lakhimpur Kheri,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::maharajganj,E056,2017-0517-IND,Uttar Pradesh,Maharajganj,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::mau,E056,2017-0517-IND,Uttar Pradesh,Mau,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::mirzapur,E056,2017-0517-IND,Uttar Pradesh,Mirzapur,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::muzaffarnagar,E056,2017-0517-IND,Uttar Pradesh,Muzaffarnagar,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::pilibhit,E056,2017-0517-IND,Uttar Pradesh,Pilibhit,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::sant%20kabir%20nagar,E056,2017-0517-IND,Uttar Pradesh,Sant Kabir Nagar,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
E056::shamli,E056,2017-0517-IND,Uttar Pradesh,Shamli,2017-08-16,0,0,,heuristic,incomplete,incomplete,0,0
