event_district_id,event_id,state,district,start_date,year,aoi_status,aoi_error,aoi_area_km2,eligible_km2,utm_epsg,grid_tiles,grid_blocks,s1_pre_images,s1_post_images,sr_pre_images,sr_post_images,sr_baseline_candidates,sr_baseline_months,sr_post_seen_frac,sr_pre_seen_frac,sr_optical_observed_frac,sr_status,sr_reason,sr_kept_tiles,sr_kept_km2,sr_usable_km2,sr_usable_frac,sr_new_water_c_km2,sr_fine_scale_m,sr_error,l1c_pre_images,l1c_post_images,l1c_baseline_candidates,l1c_baseline_months,l1c_post_seen_frac,l1c_pre_seen_frac,l1c_optical_observed_frac,l1c_status,l1c_reason,l1c_kept_tiles,l1c_kept_km2,l1c_usable_km2,l1c_usable_frac,l1c_new_water_c_km2,l1c_fine_scale_m,l1c_error,probe_version,spec_version,elapsed_s
E024::jorhat,E024,Assam,Jorhat,2015-08-28,2015,matched,,2842.717,2522.497,EPSG:32646,14544.0,63.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,5.8
E024::kamrup,E024,Assam,Kamrup,2015-08-28,2015,matched,,4348.623,2762.88,EPSG:32646,36084.0,156.0,5.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.5
E024::kokrajhar,E024,Assam,Kokrajhar,2015-08-28,2015,matched,,3329.223,3208.461,EPSG:32646,14070.0,63.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,4.4
E024::lakhimpur,E024,Assam,Lakhimpur,2015-08-28,2015,matched,,2886.524,2724.618,EPSG:32646,16940.0,72.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,5.7
E024::marigaon,E024,Assam,Marigaon,2015-08-28,2015,matched,,1556.527,1311.702,EPSG:32646,7584.0,30.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.6
E024::nalbari,E024,Assam,Nalbari,2015-08-28,2015,matched,,2339.88,2186.931,EPSG:32646,9856.0,40.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,10.8
E024::sibsagar,E024,Assam,Sibsagar,2015-08-28,2015,matched,,2638.077,2528.958,EPSG:32646,14647.0,70.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,5.8
E024::sonitpur,E024,Assam,Sonitpur,2015-08-28,2015,matched,,4676.158,4405.448,EPSG:32646,19608.0,90.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.8
E024::tinsukia,E024,Assam,Tinsukia,2015-08-28,2015,matched,,3799.19,3540.749,EPSG:32646,16120.0,72.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.1
E025::chittoor,E025,Andhra Pradesh,Chittoor,2015-11-08,2015,matched,,15225.848,10922.136,EPSG:32644,79968.0,315.0,4.0,2.0,8.0,0.0,1.0,,0.0,0.876821614431261,0.0,unavailable,no_post_imagery,,,,,,,,16.0,0.0,1.0,,0.0,0.8794819202976184,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,12.4
E025::nellore,E025,Andhra Pradesh,Nellore,2015-11-08,2015,matched,,13465.479,11642.811,EPSG:32644,64414.0,266.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.09841831966306847,0.0,unavailable,no_post_imagery,,,,,,,,2.0,0.0,0.0,,0.0,0.1014522023372943,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,11.5
E025::prakasam,E025,Andhra Pradesh,Prakasam,2015-11-08,2015,matched,,17855.5,14404.617,EPSG:32644,68967.0,285.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,9.5
