model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
poisson,2,E145::chennai,2021-0722-IND,318.0,26.248124835237824,,291.75187516476217,505.2856234174785,18.0,35.0,0.0,17.0,0.0,3.986430746048435e-12
poisson,2,E145::coimbatore,2021-0722-IND,2.0,27.215085734458686,,25.215085734458686,21.30069003072647,19.0,36.0,0.0,17.0,0.0,1.5157879177186295e-12
poisson,2,E145::cuddalore,2021-0722-IND,10.0,29.832500242637906,,19.832500242637906,10.980928701763268,21.0,39.0,0.0,18.0,0.0,1.106393876000317e-13
poisson,2,E145::dharmapuri,2021-0722-IND,1.0,27.814674517316565,,26.814674517316565,24.489110775554103,19.0,37.0,0.0,18.0,0.0,8.322242015977838e-13
poisson,2,E145::dindigul,2021-0722-IND,3.0,27.750070078433897,,24.750070078433897,19.572114451047277,19.0,37.0,0.0,18.0,0.0,8.877643325319222e-13
poisson,2,E145::erode,2021-0722-IND,0.0,27.637355139472945,,27.637355139472945,27.637355139472945,19.0,37.0,0.0,18.0,1.0,9.936859940963656e-13
poisson,2,E145::kanyakumari,2021-0722-IND,12.0,27.648188467847625,,15.648188467847625,7.800680452047484,19.0,37.0,0.0,18.0,0.0,9.829791674190777e-13
poisson,2,E145::karur,2021-0722-IND,0.0,27.18214033083599,,27.18214033083599,27.18214033083599,19.0,36.0,0.0,17.0,1.0,1.5665578890131582e-12
poisson,2,E145::krishnagiri,2021-0722-IND,2.0,27.01035350020971,,25.01035350020971,21.11106016982581,19.0,36.0,0.0,17.0,0.0,1.860169505791578e-12
poisson,2,E145::madurai,2021-0722-IND,10.0,28.570430979697598,,18.570430979697598,10.151120541047398,20.0,38.0,0.0,18.0,0.0,3.9085842703054187e-13
poisson,2,E145::nagapattinam,2021-0722-IND,10.0,30.068214919113306,,20.068214919113306,11.137941181603704,21.0,39.0,0.0,18.0,0.0,8.740578547155391e-14
poisson,2,E145::namakkal,2021-0722-IND,0.0,27.62119604344806,,27.62119604344806,27.62119604344806,19.0,37.0,0.0,18.0,1.0,1.009873496966542e-12
poisson,2,E145::nilgiris,2021-0722-IND,1.0,25.612626423907738,,24.612626423907738,22.369540974331173,18.0,34.0,0.0,16.0,0.0,7.526233308484069e-12
poisson,2,E145::perambalur,2021-0722-IND,1.0,27.235817236451624,,26.235817236451624,23.931284319220154,19.0,36.0,0.0,17.0,0.0,1.484686857245992e-12
poisson,2,E145::pudukkottai,2021-0722-IND,0.0,29.42635033629583,,29.42635033629583,29.42635033629583,21.0,39.0,0.0,18.0,1.0,1.6607276880791718e-13
poisson,2,E145::ramanathapuram,2021-0722-IND,3.0,28.75334786605163,,25.75334786605163,20.468844711343543,20.0,38.0,0.0,18.0,0.0,3.2552150558739463e-13
poisson,2,E145::salem,2021-0722-IND,1.0,28.143292390199065,,27.143292390199065,24.80598334499439,20.0,37.0,0.0,17.0,0.0,5.991332363668807e-13
poisson,2,E145::thanjavur,2021-0722-IND,8.0,29.595842952827777,,21.595842952827777,13.099374570097513,21.0,39.0,0.0,18.0,0.0,1.4018085944771872e-13
poisson,2,E145::theni,2021-0722-IND,8.0,27.20478073624993,,19.20478073624993,11.382241877237684,19.0,36.0,0.0,17.0,0.0,1.5314888696925532e-12
