event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E024::sivasagar,E024,2015-0406-IND,2015-08-28,Assam,Sivasagar,,,1526.651765771626,NONE,missing,matched,76128533B21722277889516,matched,missing,,,,,,,,,,NONE,
E024::sonitpur,E024,2015-0406-IND,2015-08-28,Assam,Sonitpur,,,4676.158375740257,NONE,missing,matched,17593.0,matched,missing,,,,,,,,,,NONE,
E024::tinsukia,E024,2015-0406-IND,2015-08-28,Assam,Tinsukia,,,3799.190193815676,NONE,missing,matched,70093.0,matched,missing,,,,,,,,,,NONE,
E025::chittoor,E025,2015-0504-IND,2015-11-08,Andhra Pradesh,Chittoor,,,15225.848296260026,NONE,missing,matched,17549.0,matched,missing,,,,,,,,,,NONE,
E025::nellore,E025,2015-0504-IND,2015-11-08,Andhra Pradesh,Nellore,,,13465.479193999116,NONE,missing,matched,17561.0,matched,missing,,,,,,,,,,NONE,
E025::prakasam,E025,2015-0504-IND,2015-11-08,Andhra Pradesh,Prakasam,,,17855.500293612782,NONE,missing,matched,17563.0,matched,missing,,,,,,,,,,NONE,
E025::ysr%20kadapa,E025,2015-0504-IND,2015-11-08,Andhra Pradesh,YSR Kadapa,,,15070.574780835612,NONE,missing,matched,76128533B72109128179340,matched,missing,,,,,,,,,,NONE,
E026::puducherry,E026,2015-0504-IND,2015-11-08,Puducherry,Puducherry,,,199.99944279980937,NONE,missing,matched,70228.0,matched,missing,,,,,,,,,,NONE,
E027::chennai,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Chennai,,,196.6308822101988,NONE,missing,matched,70242.0,matched,missing,,,,,,,,,,NONE,
E027::cuddalore,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Cuddalore,,,3834.148317022688,NONE,missing,matched,70243.0,matched,missing,,,,,,,,,,NONE,
E027::kancheepuram,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Kancheepuram,,,4692.505223595422,NONE,missing,matched,70244.0,matched,missing,,,,,,,,,,NONE,
E027::nagapattinam,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Nagapattinam,,,4937.704421608838,NONE,missing,matched,70247.0,matched,missing,,,,,,,,,,NONE,
