event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,aoi_area_km2,spec_version,aoi_error,aoi_boundary_year,aoi_match_method,aoi_reference_name,aoi_historical_boundary_verified,aoi_match_evidence,aoi_boundary_note,aoi_lgd_code
E022::alipurduar,E022,2015-0317-IND,2015-07-15,West Bengal,Alipurduar,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B23858286755005,2805.571892812931,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Alipurduar,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E022::jalpaiguri,E022,2015-0317-IND,2015-07-15,West Bengal,Jalpaiguri,district,FAO/GAUL/2015/level2,matched,17951.0,6200.341009430311,fs1-3016a20fd3ad,,,,,,,,
E022::malda,E022,2015-0317-IND,2015-07-15,West Bengal,Malda,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B36734405131975,3569.571917709693,fs1-3016a20fd3ad,,2021.0,census_label_alias,Maldah,False,https://censusindia.gov.in/nada/index.php/catalog/42557,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E023::baksa,E023,2015-0374-IND,2015-08-13,Assam,Baksa,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B8221925175605,2398.6209171216647,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Baksa,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E023::barpeta,E023,2015-0374-IND,2015-08-13,Assam,Barpeta,district,FAO/GAUL/2015/level2,matched,17576.0,3253.622989828742,fs1-3016a20fd3ad,,,,,,,,
E023::bongaigaon,E023,2015-0374-IND,2015-08-13,Assam,Bongaigaon,district,FAO/GAUL/2015/level2,matched,70086.0,2332.582799042809,fs1-3016a20fd3ad,,,,,,,,
E023::cachar,E023,2015-0374-IND,2015-08-13,Assam,Cachar,district,FAO/GAUL/2015/level2,matched,17577.0,3806.329961738336,fs1-3016a20fd3ad,,,,,,,,
E023::darrang,E023,2015-0374-IND,2015-08-13,Assam,Darrang,district,FAO/GAUL/2015/level2,matched,17578.0,3426.9679336953163,fs1-3016a20fd3ad,,,,,,,,
E023::dhemaji,E023,2015-0374-IND,2015-08-13,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087.0,2503.3476339074205,fs1-3016a20fd3ad,,,,,,,,
E023::dibrugarh,E023,2015-0374-IND,2015-08-13,Assam,Dibrugarh,district,FAO/GAUL/2015/level2,matched,17580.0,3397.4818067287138,fs1-3016a20fd3ad,,,,,,,,
E023::goalpara,E023,2015-0374-IND,2015-08-13,Assam,Goalpara,district,FAO/GAUL/2015/level2,matched,17581.0,1904.60564716237,fs1-3016a20fd3ad,,,,,,,,
E023::jorhat,E023,2015-0374-IND,2015-08-13,Assam,Jorhat,district,FAO/GAUL/2015/level2,matched,70089.0,2842.716884638612,fs1-3016a20fd3ad,,,,,,,,
E023::kamrup,E023,2015-0374-IND,2015-08-13,Assam,Kamrup,district,FAO/GAUL/2015/level2,matched,17583.0,4348.6225796054405,fs1-3016a20fd3ad,,,,,,,,
E023::kokrajhar,E023,2015-0374-IND,2015-08-13,Assam,Kokrajhar,district,FAO/GAUL/2015/level2,matched,70090.0,3329.2233881813268,fs1-3016a20fd3ad,,,,,,,,
E023::lakhimpur,E023,2015-0374-IND,2015-08-13,Assam,Lakhimpur,district,FAO/GAUL/2015/level2,matched,70091.0,2886.5239581816727,fs1-3016a20fd3ad,,,,,,,,
E023::morigaon,E023,2015-0374-IND,2015-08-13,Assam,Morigaon,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B17968019348564,1508.3262903435707,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Morigaon,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E023::nagaon,E023,2015-0374-IND,2015-08-13,Assam,Nagaon,district,FAO/GAUL/2015/level2,matched,17589.0,3997.4423095607103,fs1-3016a20fd3ad,,,,,,,,
E023::nalbari,E023,2015-0374-IND,2015-08-13,Assam,Nalbari,district,FAO/GAUL/2015/level2,matched,17590.0,2339.8796955273547,fs1-3016a20fd3ad,,,,,,,,
E023::sonitpur,E023,2015-0374-IND,2015-08-13,Assam,Sonitpur,district,FAO/GAUL/2015/level2,matched,17593.0,4676.158375740257,fs1-3016a20fd3ad,,,,,,,,
E023::tinsukia,E023,2015-0374-IND,2015-08-13,Assam,Tinsukia,district,FAO/GAUL/2015/level2,matched,70093.0,3799.190193815676,fs1-3016a20fd3ad,,,,,,,,
E023::udalguri,E023,2015-0374-IND,2015-08-13,Assam,Udalguri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B20307518801538,2056.2913712488385,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Udalguri,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E024::barpeta,E024,2015-0406-IND,2015-08-28,Assam,Barpeta,district,FAO/GAUL/2015/level2,matched,17576.0,3253.622989828742,fs1-3016a20fd3ad,,,,,,,,
E024::bongaigaon,E024,2015-0406-IND,2015-08-28,Assam,Bongaigaon,district,FAO/GAUL/2015/level2,matched,70086.0,2332.582799042809,fs1-3016a20fd3ad,,,,,,,,
E024::cachar,E024,2015-0406-IND,2015-08-28,Assam,Cachar,district,FAO/GAUL/2015/level2,matched,17577.0,3806.329961738336,fs1-3016a20fd3ad,,,,,,,,
E024::darrang,E024,2015-0406-IND,2015-08-28,Assam,Darrang,district,FAO/GAUL/2015/level2,matched,17578.0,3426.9679336953163,fs1-3016a20fd3ad,,,,,,,,
E024::dhemaji,E024,2015-0406-IND,2015-08-28,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087.0,2503.3476339074205,fs1-3016a20fd3ad,,,,,,,,
E024::dibrugarh,E024,2015-0406-IND,2015-08-28,Assam,Dibrugarh,district,FAO/GAUL/2015/level2,matched,17580.0,3397.4818067287138,fs1-3016a20fd3ad,,,,,,,,
