state,district,event_rows,status,gaul_name,gaul_code,candidates,source,note
Kerala,Chengannur,1,boundary_review_required,,,Kannur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Kerala,Pathanamthitta,5,boundary_review_required,,,Pattanamtitta,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Agar Malwa,1,boundary_review_required,,,Mandla | Barwani,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Alirajpur,2,boundary_review_required,,,Shajapur | Burhanpur | Anuppur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Khandwa,1,boundary_review_required,,,Mandla | Chhindwara | Mandsaur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Khargone,1,boundary_review_required,,,Dhar | Katni,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Narmadapuram,3,boundary_review_required,,,Narsinghpur | Shajapur | Mandsaur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Madhya Pradesh,Singrauli,1,boundary_review_required,,,Dindori | Shivpuri,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Maharashtra,Ahilyanagar,1,boundary_review_required,,,Ahmednagar | Bhandara | Ratnagiri,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Maharashtra,Beed,1,boundary_review_required,,,Bid,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Maharashtra,Buldhana,1,boundary_review_required,,,Buldana,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Maharashtra,Gadchiroli,2,boundary_review_required,,,Garhchiroli | Hingoli,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
