event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,combined_km2,satellite_source,route_reason,routing_mode,optical_footprint,sits_status,sits_reason,converter_decision,s1_flood_km2,ndwi_flood_km2,sits_ndwi_full_km2,sits_ndwi_gated_km2,sits_detect_km2,sits_footprint_km2,sits_usable_km2,sits_usable_frac,sits_s1_usable_km2,sits_threshold,sits_method,optical_available,cloud_pct,optical_observed_frac,otsu_threshold_db,otsu_fallback_used,s1_orbit,s1_post_images,s2_post_images,eligible_km2,builtup_km2,cropland_km2,aoi_area_km2,legacy_combined_km2,legacy_satellite_source,legacy_route_reason,spec_version
E016::nagaon,E016,2015-0317-IND,2015-07-15,Assam,Nagaon,district,FAO/GAUL/2015/level2,matched,17589,32.4244,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,32.4244,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,3099.3518,85.1365,1748.5294,3997.4423095607103,32.4244,S1,no_optical_s1,fs1-3016a20fd3ad
E016::nalbari,E016,2015-0317-IND,2015-07-15,Assam,Nalbari,district,FAO/GAUL/2015/level2,matched,17590,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,2097.5834,38.1238,1132.0605,2339.8796955273547,,NONE,no_measurement,fs1-3016a20fd3ad
E016::sonitpur,E016,2015-0317-IND,2015-07-15,Assam,Sonitpur,district,FAO/GAUL/2015/level2,matched,17593,68.551,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,68.551,,,,,,,,,,no-sits,False,100.0,,-14.75,False,ASCENDING,1.0,0.0,4081.5881,70.4035,1950.1255,4676.158375740257,68.551,S1,no_optical_s1,fs1-3016a20fd3ad
E016::tinsukia,E016,2015-0317-IND,2015-07-15,Assam,Tinsukia,district,FAO/GAUL/2015/level2,matched,70093,6.4123,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,6.4123,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,1.0,0.0,3303.9786,35.8835,942.5054,3799.190193815676,6.4123,S1,no_optical_s1,fs1-3016a20fd3ad
E016::udalguri,E016,2015-0317-IND,2015-07-15,Assam,Udalguri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B20307518801538,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,1902.4689,22.7021,962.0185,2056.2913712488325,,NONE,no_measurement,fs1-3016a20fd3ad
E017::banaskantha,E017,2015-0317-IND,2015-07-15,Gujarat,Banaskantha,district,FAO/GAUL/2015/level2,matched,17637,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,9330.3213,165.3847,7745.4466,10638.731207971712,,NONE,no_measurement,fs1-3016a20fd3ad
E017::kutch,E017,2015-0317-IND,2015-07-15,Gujarat,Kutch,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B91881382098572,2389.9903,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,2389.9903,,,,,,,,,,no-sits,False,100.0,,-14.75,False,BOTH,4.0,0.0,35085.3176,273.0759,9226.9332,42739.022712293714,2389.9903,S1,no_optical_s1,fs1-3016a20fd3ad
E017::patan,E017,2015-0317-IND,2015-07-15,Gujarat,Patan,district,FAO/GAUL/2015/level2,matched,70129,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,5815.1637,117.5371,4683.4199,6017.262722245363,,NONE,no_measurement,fs1-3016a20fd3ad
E019::bishnupur,E019,2015-0317-IND,2015-07-15,Manipur,Bishnupur,district,FAO/GAUL/2015/level2,matched,70188,77.0245,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,77.0245,,,,,,,,,,no-sits,False,100.0,,-13.25,False,ASCENDING,1.0,0.0,368.5485,21.6016,221.473,481.84963420103696,77.0245,S1,no_optical_s1,fs1-3016a20fd3ad
E019::chandel,E019,2015-0317-IND,2015-07-15,Manipur,Chandel,district,FAO/GAUL/2015/level2,matched,70189,1.1076,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,1.1076,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,121.2731,3.1988,36.3491,3203.022279023179,1.1076,S1,no_optical_s1,fs1-3016a20fd3ad
E019::churachandpur,E019,2015-0317-IND,2015-07-15,Manipur,Churachandpur,district,FAO/GAUL/2015/level2,matched,70190,5.1917,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,5.1917,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,210.6588,10.9398,60.4427,4763.149584333486,5.1917,S1,no_optical_s1,fs1-3016a20fd3ad
E019::jiribam,E019,2015-0317-IND,2015-07-15,Manipur,Jiribam,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B64881202564500,0.2862,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,0.2862,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,51.0692,0.7584,12.0834,146.20809022147196,0.2862,S1,no_optical_s1,fs1-3016a20fd3ad
E019::thoubal,E019,2015-0317-IND,2015-07-15,Manipur,Thoubal,district,FAO/GAUL/2015/level2,matched,70194,62.3161,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,62.3161,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,499.928,42.733,362.6687,715.5847965133187,62.3161,S1,no_optical_s1,fs1-3016a20fd3ad
E019::ukhrul,E019,2015-0317-IND,2015-07-15,Manipur,Ukhrul,district,FAO/GAUL/2015/level2,matched,70195,0.2034,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,0.2034,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,83.3833,1.1702,19.6601,4426.124966872591,0.2034,S1,no_optical_s1,fs1-3016a20fd3ad
E020::balasore,E020,2015-0317-IND,2015-07-15,Odisha,Balasore,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B81147724102706,255.9336,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,255.9336,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,3.0,0.0,3299.0039,42.1568,2132.2234,3677.371422806349,255.9336,S1,no_optical_s1,fs1-3016a20fd3ad
E020::bhadrak,E020,2015-0317-IND,2015-07-15,Odisha,Bhadrak,district,FAO/GAUL/2015/level2,matched,70209,151.511,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,151.511,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,4.0,0.0,2394.8429,28.2578,1809.4547,2454.2507276454426,151.511,S1,no_optical_s1,fs1-3016a20fd3ad
