event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E015::lakhimpur,E015,2015-0413-IND,2015-07-14,Assam,Lakhimpur,51.7313,0.0179,2886.5239581816727,S1,observed,matched,70091.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,2563.3875,0.0202,unavailable,,51.7313,S1,fs1-3016a20fd3ad
E015::sonitpur,E015,2015-0413-IND,2015-07-14,Assam,Sonitpur,68.551,0.0147,4676.158375740257,S1,observed,matched,17593.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,4081.5881,0.0168,unavailable,,68.551,S1,fs1-3016a20fd3ad
E016::baksa,E016,2015-0317-IND,2015-07-15,Assam,Baksa,70.022,0.0292,2398.6209171216783,S1,observed,matched,76128533B8221925175605,matched,observed,interim_s1_only,100.0,True,ASCENDING,2223.2273,0.0315,unavailable,,70.022,S1,fs1-3016a20fd3ad
E016::barpeta,E016,2015-0317-IND,2015-07-15,Assam,Barpeta,158.5279,0.0487,3253.622989828742,S1,observed,matched,17576.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,2781.8165,0.057,unavailable,,158.5279,S1,fs1-3016a20fd3ad
E016::bongaigaon,E016,2015-0317-IND,2015-07-15,Assam,Bongaigaon,68.1776,0.0292,2332.582799042809,S1,observed,matched,70086.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,1849.5033,0.0369,unavailable,,68.1776,S1,fs1-3016a20fd3ad
E016::cachar,E016,2015-0317-IND,2015-07-15,Assam,Cachar,1.4569,0.0004,3806.329961738336,S1,observed,matched,17577.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,1742.352,0.0008,unavailable,,1.4569,S1,fs1-3016a20fd3ad
E016::darrang,E016,2015-0317-IND,2015-07-15,Assam,Darrang,,,3426.9679336953163,NONE,missing,matched,17578.0,matched,missing,no_s1,100.0,,,3074.5271,,unavailable,,,NONE,fs1-3016a20fd3ad
E016::dhemaji,E016,2015-0317-IND,2015-07-15,Assam,Dhemaji,12.8685,0.0051,2503.3476339074205,S1,observed,matched,70087.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,2240.4877,0.0057,unavailable,,12.8685,S1,fs1-3016a20fd3ad
E016::dhubri,E016,2015-0317-IND,2015-07-15,Assam,Dhubri,94.5726,0.0528,1790.280077462252,S1,observed,matched,76128533B25835998628545,matched,observed,interim_s1_only,100.0,False,ASCENDING,1545.8668,0.0612,unavailable,,94.5726,S1,fs1-3016a20fd3ad
E016::dibrugarh,E016,2015-0317-IND,2015-07-15,Assam,Dibrugarh,26.6159,0.0078,3397.4818067287138,S1,observed,matched,17580.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,2887.5515,0.0092,unavailable,,26.6159,S1,fs1-3016a20fd3ad
E016::goalpara,E016,2015-0317-IND,2015-07-15,Assam,Goalpara,27.8387,0.0146,1904.60564716237,S1,observed,matched,17581.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,1408.4225,0.0198,unavailable,,27.8387,S1,fs1-3016a20fd3ad
E016::jorhat,E016,2015-0317-IND,2015-07-15,Assam,Jorhat,16.3964,0.0058,2842.716884638612,S1,observed,matched,70089.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,2306.1826,0.0071,unavailable,,16.3964,S1,fs1-3016a20fd3ad
E016::kamrup,E016,2015-0317-IND,2015-07-15,Assam,Kamrup,4.3507,0.001,4348.6225796054405,S1,observed,matched,17583.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,2833.5254,0.0015,unavailable,,4.3507,S1,fs1-3016a20fd3ad
E016::karbi%20anglong,E016,2015-0317-IND,2015-07-15,Assam,Karbi Anglong,12.3412,0.0012,10446.406497647093,S1,observed,matched,17584.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,2925.3894,0.0042,unavailable,,12.3412,S1,fs1-3016a20fd3ad
